Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Wolumen
2004-09-30,98.24,98.24,98.24,98.24,50
2004-10-07,96.11,96.11,95.83,95.83,152
2004-10-08,97,97,97,97,50
2004-10-13,96,96,95.82,95.9,2887
2004-10-14,97,97,97,97,10
2004-10-21,96.5,96.5,96.5,96.5,85
2004-10-22,96,96,96,96,360
2004-10-25,96,96.5,95.75,96.5,571
2004-10-26,95,96.5,95,96.5,5542
2004-10-27,95.2,95.2,95,95,140
2004-10-28,95.1,97,95.1,97,217
2004-10-29,98.79,98.79,98.79,98.79,16
2004-11-08,98.8,98.8,98.8,98.8,100
2004-11-09,95.61,99,95.61,99,519
2004-11-12,98,98,98,98,100
2004-11-15,97.3,98,97.3,98,1058
2004-11-16,98,98,97,97,595
2004-11-17,97,97,97,97,50
2004-11-18,97,97,97,97,60
2004-11-19,96.31,97,96.3,97,701
2004-11-22,96.01,96.01,95.55,95.55,271
2004-11-23,96.95,96.95,96.95,96.95,10
2004-11-24,96.05,96.05,96.05,96.05,100
2004-11-25,96.05,96.05,96.05,96.05,501
2004-11-26,97,97,97,97,10
2004-11-30,96.05,98,96.05,98,1040
2004-12-02,96.07,96.07,96.05,96.05,50
2004-12-03,98,98,98,98,130
2004-12-06,97,97,97,97,25
2004-12-07,96.11,97,96.05,96.06,602
2004-12-08,97,97,96.05,96.05,199
2004-12-09,97,97,96.2,96.2,51
2004-12-13,96.15,97.97,96.15,97.97,65
2004-12-14,96.4,96.4,96.4,96.4,21
2004-12-16,97.02,97.02,97.01,97.01,20
2004-12-17,97.03,97.97,97.03,97.97,130
2004-12-22,97.17,97.17,97.17,97.17,140
2004-12-23,96.9,96.9,96.9,96.9,250
2004-12-27,97,97,96.5,96.6,299
2004-12-28,96.6,97.6,96.1,97.6,859
2004-12-29,97.8,99,97.8,99,900
2004-12-30,99.5,99.5,99.5,99.5,180
2005-01-03,96.27,96.27,96.27,96.27,19
2005-01-04,96.71,96.71,96.7,96.7,100
2005-01-05,96.72,97.6,96.4,97.6,1000
2005-01-06,96.7,98,96.7,98,109
2005-01-07,98,98,98,98,2912
2005-01-10,96.73,96.73,96.6,96.6,602
2005-01-11,96.65,98.1,96.65,98.1,140
2005-01-12,97,97,97,97,150
2005-01-14,96.8,97,96.8,97,420
2005-01-18,96.8,98,96.8,98,611
2005-01-20,96.85,98,96.85,98,140
2005-01-21,98.1,98.1,98.1,98.1,550
2005-01-24,98.1,98.1,98.1,98.1,50
2005-01-26,98.1,98.1,98.1,98.1,141
2005-01-27,96.8,96.8,96.8,96.8,500
2005-01-28,97.8,97.8,97.8,97.8,260
2005-01-31,98,98,97.5,97.5,1050
2005-02-01,97.55,97.55,97.5,97.5,1100
2005-02-02,97.5,97.5,97.5,97.5,101
2005-02-04,98.09,98.1,98.09,98.1,105
2005-02-07,98.1,98.1,98.1,98.1,174
2005-02-09,98.1,98.1,98.1,98.1,200
2005-02-10,98.1,98.1,98.1,98.1,724
2005-02-11,98.1,98.1,98.1,98.1,25
2005-02-16,98.5,98.5,98.5,98.5,200
2005-02-17,98.5,98.5,98.5,98.5,100
2005-02-22,98.21,98.21,98.2,98.2,205
2005-02-23,98.5,98.5,98.2,98.2,102
2005-02-24,98.5,98.5,98.5,98.5,100
2005-02-25,98.5,98.5,98.5,98.5,100
2005-02-28,98.62,98.62,97.1,97.1,1413
2005-03-03,97.6,97.6,97.6,97.6,69
2005-03-04,97.6,97.6,96.6,97.6,985
2005-03-08,96.67,97.7,96.67,97.7,784
2005-03-10,98,98,97.8,97.8,5006
