Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Wolumen
2008-05-21,1625.01,1635,1625.01,1635,15
2008-05-23,1645.1,1645.1,1645,1645,6
2008-05-26,1655,1655,1640,1640,45
2008-05-27,1638,1645,1610,1610,57
2008-05-28,1623,1623,1615,1615,11
2008-05-29,1619,1619,1600,1600,31
2008-05-30,1550,1561,1550,1560,7
2008-06-02,1600,1615,1600,1614,10
2008-06-03,1614,1614,1588.5,1588.5,10
2008-06-04,1610,1610,1600,1600,10
2008-06-05,1600,1600,1600,1600,4
2008-06-06,1608,1608,1607.8,1608,5
2008-06-09,1601,1604,1600,1600,32
2008-06-10,1590,1590,1560,1560,15
2008-06-11,1570,1590,1570,1590,19
2008-06-12,1580,1580,1580,1580,10
2008-06-13,1560,1560,1560,1560,4
2008-06-19,1555.15,1600,1550,1600,10
2008-06-20,1600,1610,1600,1610,27
2008-06-23,1600,1600,1580,1600,45
2008-06-24,1599,1599,1555,1555,49
2008-06-25,1595,1595,1558,1558,3
2008-06-27,1615,1620,1615,1620,28
2008-06-30,1620,1635,1620,1626.5,13
2008-07-01,1635,1645,1635,1645,3
2008-07-02,1636,1636,1635,1635,11
2008-07-03,1649,1649,1600,1625,37
2008-07-04,1615,1638,1611,1611,3
2008-07-07,1613.71,1613.71,1580,1581,23
2008-07-08,1595,1595,1595,1595,1
2008-07-09,1585,1585,1585,1585,1
2008-07-10,1600,1609.99,1600,1609.99,7
2008-07-11,1637,1640,1637,1640,8
2008-07-14,1639,1645,1634,1645,33
2008-07-15,1649,1650,1645,1650,159
2008-07-16,1650,1660,1649.99,1660,131
2008-07-17,1677.99,1700,1677.99,1699,49
2008-07-18,1697.99,1697.99,1665,1675,31
2008-07-21,1708,1708,1699,1699,13
2008-07-22,1671.05,1671.05,1671.05,1671.05,1
2008-07-23,1678,1678,1652,1665,29
2008-07-24,1660,1660,1660,1660,2
2008-07-25,1679,1679,1650,1650,2
2008-07-28,1679,1690,1640,1650,14
2008-07-29,1650,1650,1650,1650,1
2008-07-30,1635,1635,1601,1601,25
2008-07-31,1643.99,1643.99,1643.99,1643.99,10
2008-08-01,1643.99,1643.99,1643.99,1643.99,2
2008-08-04,1599.99,1599.99,1580,1580,5
2008-08-05,1570,1570,1520,1520,38
2008-08-06,1501,1501,1490,1490,7
2008-08-07,1596.99,1596.99,1540,1540,9
2008-08-08,1510,1520,1491,1491,20
2008-08-11,1501,1501,1500,1500,3
2008-08-12,1489,1489,1450,1460,51
2008-08-13,1460.01,1460.01,1460,1460,5
2008-08-14,1450,1460,1440.01,1440.01,24
2008-08-18,1360,1400,1310,1310,25
2008-08-19,1317,1343,1300,1320,35
2008-08-20,1418,1418,1350,1350,3
2008-08-21,1345,1360,1345,1360,8
2008-08-22,1350,1352.99,1335,1352.99,8
2008-08-25,1349.99,1356,1349.99,1355,11
2008-08-26,1359,1360,1335,1335,9
2008-08-27,1360,1366,1354.55,1366,9
2008-08-28,1369.15,1379.98,1368.15,1368.15,4
2008-09-01,1380,1390,1380,1390,50
2008-09-02,1371,1372.5,1316,1316,5
2008-09-03,1317.03,1317.03,1317,1317,6
2008-09-04,1346.15,1350,1346.15,1350,2
2008-09-05,1352,1352,1352,1352,1
2008-09-09,1371.15,1399,1370,1371,10
2008-09-10,1350,1350,1339,1349,30
2008-09-11,1331,1350,1320,1350,23
2008-09-12,1379,1379,1350,1350,9
2008-09-16,1389,1389,1350,1350,6
2008-09-17,1370,1389,1355,1389,16
2008-09-18,1431,1550,1431,1507,50
2008-09-19,1480,1550,1425,1425,45
2008-09-22,1410.01,1410.01,1410.01,1410.01,1
2008-09-23,1529,1529,1499,1500,17
2008-09-25,1500,1500,1500,1500,3
2008-09-26,1500,1530,1500,1530,3
2008-09-29,1520,1520,1520,1520,1
2008-09-30,1540,1540,1440,1520,9
2008-10-01,1510,1530,1510,1530,6
2008-10-02,1460,1460,1460,1460,3
2008-10-03,1477,1490,1477,1490,7
2008-10-06,1440,1480,1425,1480,23
2008-10-07,1480,1480,1450,1450,13
2008-10-08,1499,1499,1489,1489,11
2008-10-09,1499,1499,1499,1499,3
2008-10-10,1502.02,1515,1490,1490,50
2008-10-13,1471,1490,1455,1470,10
2008-10-14,1455,1470,1455,1470,3
2008-10-15,1497,1497,1497,1497,1
2008-10-16,1481,1481,1421,1421,13
2008-10-17,1421,1421,1341,1341,59
2008-10-20,1380,1380,1370,1370,3
2008-10-21,1380,1380,1340,1370,27
2008-10-22,1360,1360,1311.03,1315.01,13
2008-10-23,1325.01,1326,1275,1290,54
2008-10-24,1298,1298,1201,1210.01,31
2008-10-27,1220,1220,1189,1220,31
2008-10-28,1210,1231,1210,1212,17
2008-10-29,1220,1220,1201.01,1210,7
2008-10-30,1260,1260,1260,1260,3
2008-10-31,1220,1240,1220,1240,14
2008-11-04,1119,1160,1118.98,1119.01,13
2008-11-05,1121,1130,1121,1130,2
2008-11-07,1170.5,1170.5,1170.5,1170.5,1
2008-11-10,1169,1200,1169,1200,54
2008-11-12,1190,1190,1189,1190,15
2008-11-14,1155,1155,1145,1145,5
2008-11-17,1136,1136,1130,1135,20
2008-11-18,1137,1137,1136,1136,21
2008-11-19,1121,1149,1121,1149,11
2008-11-20,1125,1150,1125,1130,84
2008-11-21,1145,1150,1145,1150,8
2008-11-24,1200,1200,1185,1185,52
2008-11-25,1209,1210.1,1200,1200,8
2008-11-26,1161,1161,1161,1161,1
2008-11-27,1199,1220,1199,1220,2
2008-11-28,1206.11,1206.11,1200,1200,21
2008-12-01,1200,1240,1200,1240,20
2008-12-02,1200,1200,1179,1200,28
2008-12-03,1200,1200,1175,1175,17
2008-12-04,1190,1190,1190,1190,37
2008-12-05,1190,1190,1190,1190,8
2008-12-09,1181,1181,1175.51,1175.51,4
2008-12-10,1180,1200,1180,1200,56
2008-12-11,1211,1229.99,1210,1220.99,50
2008-12-12,1223.99,1223.99,1215,1215,4
2008-12-15,1219.99,1220,1219.99,1220,15
2008-12-16,1221,1221,1221,1221,3
2008-12-17,1250,1275,1250,1275,46
2008-12-18,1275,1340,1275,1320,30
2008-12-19,1305,1310,1290,1310,50
2008-12-22,1290,1310.5,1290,1310.5,14
2008-12-23,1306,1311,1305,1310,17
2008-12-29,1340.01,1350,1330,1350,9
2008-12-30,1354,1354,1340,1350,45
2008-12-31,1355,1355,1349,1349,14
2009-01-05,1370,1370.05,1350,1370.05,18
2009-01-06,1350,1350,1325,1325,24
2009-01-07,1340,1341,1320,1320,32
2009-01-08,1330,1330,1330,1330,8
2009-01-09,1375,1375,1340,1340,9
2009-01-12,1350,1350,1324.1,1324.1,87
2009-01-13,1320,1335,1313,1335,5
2009-01-14,1322,1323,1322,1323,11
