Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Wolumen
2007-11-09,1046,1046,1020,1020,373
2007-11-12,1011.01,1030,1011,1023,208
2007-11-13,1026,1031,1023,1023,162
2007-11-14,1030,1031,1021,1030,45
2007-11-15,1029.97,1029.97,1000,1000,235
2007-11-16,1007.99,1013,990,1000,137
2007-11-19,1011.01,1020,1002,1002,150
2007-11-20,1029.5,1029.5,1007,1015,75
2007-11-21,1017.4,1017.4,1005,1005,57
2007-11-22,1004,1004,1001,1004,78
2007-11-23,1000,1009,1000,1009,39
2007-11-26,1008,1009,1005,1005,65
2007-11-27,1005,1005,996,1003.89,46
2007-11-28,1004,1004,1000,1000.01,77
2007-11-29,1001,1003.99,996.01,1000,48
2007-11-30,1003.99,1009.99,1003.99,1005.02,56
2007-12-03,1005,1008,1000.12,1004,30
2007-12-04,1003,1006.9,1003,1005,56
2007-12-05,1007,1007,1000,1001,32
2007-12-06,1002,1005,1001.5,1002,40
2007-12-07,1005,1008,1005,1008,10
2007-12-10,1005,1008.99,1005,1008.99,10
2007-12-11,1009,1018.7,1000,1010,62
2007-12-12,1017.8,1017.8,1010.1,1015,25
2007-12-13,1010.1,1010.1,1010.1,1010.1,6
2007-12-14,1010,1010,1008,1009,18
2007-12-17,1015,1015,1000,1000,41
2007-12-18,1001,1001,998.8,998.8,28
2007-12-19,999.4,1000,991.01,991.01,59
2007-12-20,1000,1005,1000,1005,110
2007-12-21,1005,1005,1001,1001,100
2007-12-27,1003,1019,1003,1019,64
2007-12-28,1020,1030,1020,1026,72
2008-01-02,1006,1030,1006,1027,46
2008-01-03,1012,1025,1011,1025,62
2008-01-04,1012,1019,1012,1013.5,58
2008-01-07,1005.02,1010,999.5,1010,82
2008-01-08,1009,1009,1001.5,1005,26
2008-01-09,1005,1005,990,992,75
2008-01-10,990.06,990.06,985,985,42
2008-01-11,985,1000,985,1000,14
2008-01-14,925,985,925,965,43
2008-01-15,960,969.99,933,940,36
2008-01-16,900,912,870,870.01,86
2008-01-17,894,915,894,914.99,62
2008-01-18,914.97,960,900,960,103
2008-01-21,973,973,937,954.99,46
2008-01-22,949,960,935,937,31
2008-01-23,959,959,949,949,105
2008-01-24,969,969,969,969,2
2008-01-25,970,976,970,976,30
2008-01-28,945,965,922,961,47
2008-01-29,980,985,970.1,981.01,41
2008-01-30,994,994,982,982,52
2008-01-31,975,975,975,975,18
2008-02-01,989.99,1009.98,989.99,1009.98,22
2008-02-04,1005,1005,987,992,26
2008-02-05,999.9,1000,980.1,980.1,28
2008-02-06,970,999.9,965,999.9,49
2008-02-07,991,1000,990,1000,26
2008-02-11,999,1000,982,1000,23
2008-02-13,1001.5,1020,999,1020,110
2008-02-14,1010,1025,1005,1005,39
2008-02-15,1009,1010,1009,1010,18
2008-02-18,1015,1015,1010,1010,90
2008-02-19,1026,1026,1010,1010,220
2008-02-20,1010,1010,1009,1009,69
2008-02-21,1006,1009,1005,1009,5
2008-02-22,1005,1010,1005,1010,31
2008-02-25,1009.1,1010,1009,1010,35
2008-02-26,1000,1009,999,1009,16
2008-02-27,1006,1010,1006,1010,15
2008-02-28,1024,1024,1000,1000,6
2008-02-29,1003,1010,1001,1005,12
2008-03-03,1001,1013.9,1000.79,1001,82
2008-03-04,1000.79,1001.01,996,1000,38
2008-03-05,1000,1000,996,996,6
2008-03-06,999,1005,999,1005,43
2008-03-07,1003,1003,1003,1003,1
2008-03-10,999,1001,999,1001,35
2008-03-12,1003,1003,1000,1000,27
2008-03-13,1000,1000,1000,1000,5
2008-03-14,1000,1000,1000,1000,12
2008-03-17,1003,1003,1000,1000,16
2008-03-19,1000.2,1000.5,1000,1000,43
2008-03-20,1000.1,1008,1000.1,1002,5
2008-03-25,1000,1010,1000,1010,49
2008-03-26,1003.01,1009,1003,1007,21
2008-03-27,1004.5,1004.5,1004.5,1004.5,3
2008-03-28,1007,1007,1004.5,1005,43
2008-03-31,1002,1008,1001,1008,30
2008-04-01,995.5,995.5,995.5,995.5,1
2008-04-02,1000,1000,995,995,71
2008-04-03,995,999,991.01,999,57
2008-04-04,997,997,990,990,51
2008-04-07,990,990,990,990,26
2008-04-08,985,990,985,990,7
2008-04-09,990,1000,990,1000,118
2008-04-10,1000,1002,1000,1002,8
2008-04-11,1002,1002,991,991,5
2008-04-14,993,993,990,990,9
2008-04-15,997,997,997,997,2
2008-04-16,995,995,995,995,6
2008-04-17,990,990,990,990,2
2008-04-18,989,989,989,989,12
2008-04-21,990,995,987,990,55
2008-04-22,990,990,962.01,963.03,31
2008-04-24,986,986,980,980,28
2008-04-25,980,980,963,963,44
2008-04-28,980,999,980,999,37
2008-04-29,999,999,985,985,3
2008-04-30,990,990,985,985.01,30
2008-05-05,985.01,985.01,985.01,985.01,22
2008-05-06,985,985.01,985,985.01,11
2008-05-07,998,998,998,998,2
2008-05-08,998,999,997,998,32
2008-05-09,997,999,997,997.01,29
2008-05-12,997,998,995.02,995.02,6
2008-05-13,985,995,985,995,10
2008-05-15,990,995,990,995,14
2008-05-16,997,997,995,995,47
2008-05-19,995,1000,995,1000,21
2008-05-20,999.99,1019,999.99,1019,165
2008-05-21,1001,1029,1001,1029,71
2008-05-23,1015,1015,1015,1015,27
2008-05-26,1001.01,1024.99,1001,1024.99,59
2008-05-27,1003,1025,1003,1004.01,66
2008-05-29,1010,1010,1010,1010,201
2008-05-30,1010,1010,1010,1010,2
2008-06-02,1008,1008,1008,1008,10
2008-06-03,1006,1007,996.1,996.1,39
2008-06-05,996,996,995,995,41
2008-06-06,995,995,950,970,50
2008-06-09,970,970,970,970,30
2008-06-10,980,999,971,971,75
2008-06-11,997,1004.88,978.02,1004.88,23
2008-06-12,1000,1000,1000,1000,5
2008-06-13,995,995,995,995,30
2008-06-18,1003.5,1005.5,1003.5,1005,54
2008-06-19,1014,1014,995,995,43
2008-06-23,997,998,997,997,51
2008-06-24,998,998,998,998,108
2008-06-25,998,998,998,998,31
2008-06-26,998,1000,980,1000,8
2008-06-27,1005,1005,995,995,13
2008-06-30,997,997,997,997,8
2008-07-01,997,1002,997,1000,16
2008-07-02,1011,1014,1000,1011,93
2008-07-03,1011.01,1011.01,1010,1010,38
2008-07-04,1010,1011,1000,1010,19
2008-07-07,1010,1010,1005,1010,48
2008-07-08,1009,1009,1000,1000,15
2008-07-09,1009,1010,1009,1010,18
2008-07-10,1010,1011,1009.99,1011,24
2008-07-14,1000,1000,1000,1000,23
2008-07-15,922.11,990,922.11,985,45
2008-07-16,990,990,990,990,2
2008-07-17,966.11,990,966.11,990,18
2008-07-18,990,990,990,990,2
2008-07-21,990,990,990,990,1
2008-07-22,990,990,980,980,4
2008-07-23,990,991,990,990,7
2008-07-24,990,990,980,980.01,11
2008-07-25,990,990,950,950,11
2008-07-28,990,1000,990,1000,5
2008-07-30,995,999,995,999,5
2008-07-31,991,991,990,990,4
2008-08-01,990,990,981,981,3
2008-08-05,990,990,981,981,3
2008-08-06,980,990,980,990,4
2008-08-08,981,989.95,981,989.95,3
2008-08-11,981,981,980,980,3
2008-08-12,981,981,981,981,1
2008-08-13,985,989.95,985,989.95,10
2008-08-14,980,980,980,980,3
2008-08-18,980,980,980,980,4
2008-08-19,970,970,959.95,960,12
2008-08-20,960,960,922,922,6
2008-08-21,960,960,960,960,2
2008-08-22,960,960,960,960,2
2008-08-25,970,970,970,970,10
2008-08-27,960,960,960,960,18
2008-08-28,950.1,950.1,950,950,3
2008-08-29,950,970,950,970,8
2008-09-01,960,960,960,960,3
2008-09-02,960,965,960,965,32
2008-09-03,965,980,965,980,17
2008-09-04,975,975,975,975,10
2008-09-05,970,970,970,970,4
2008-09-08,968,970,968,970,10
2008-09-09,980,990,980,990,38
2008-09-10,980.01,980.01,980,980,2
2008-09-12,980,980,975.01,980,13
2008-09-15,980,980,970,970,7
2008-09-16,967,967,950,950,37
2008-09-17,951,951,945,945,17
2008-09-18,945.9,960,945,960,21
2008-09-19,960,961,960,960,31
2008-09-22,960.1,960.1,921.01,921.01,49
2008-09-23,936,949,936,949,2
2008-09-24,936.07,936.07,931.1,931.1,11
2008-09-25,935,935,935,935,2
2008-09-26,936,936,925,930,28
2008-09-29,960,960,930,930,4
2008-09-30,930.01,931.15,930,930,50
2008-10-01,950,950,935,935,15
2008-10-02,951,961,950,950,82
2008-10-03,953,953,950,950,29
2008-10-06,949.78,949.78,939.99,939.99,20
2008-10-07,900,930,891.99,892.01,48
2008-10-08,890.01,901,890.01,891,26
2008-10-09,927.99,928,927.99,928,6
2008-10-10,900.01,900.01,880,880,31
2008-10-13,878,920,830.1,918,12
2008-10-14,891,891,880,890,6
2008-10-15,890,890,890,890,2
2008-10-16,862.01,919.99,861.52,919.99,6
2008-10-17,915.99,920,915.99,920,12
2008-10-20,930,930,930,930,4
2008-10-21,910,910,910,910,6
2008-10-22,910,910,885,890,14
2008-10-23,881,882.1,880,880,16
2008-10-24,860,880,860,880,12
2008-10-28,891,891,880,880,16
2008-10-29,880,880,880,880,4
2008-10-30,885,895,885,895,15
2008-11-03,880,880,872,872,5
2008-11-04,870,890,870,889,8
2008-11-05,895,895,890,890,11
2008-11-06,911,914.39,911,914.39,8
2008-11-10,890,890,890,890,5
2008-11-12,890,890,880,880,5
2008-11-13,875,876,875,876,3
2008-11-14,875.55,876.01,875.55,876.01,2
2008-11-17,900,900,899.99,899.99,11
2008-11-18,891,899.99,880,899.99,33
2008-11-19,890,895,890,891,15
2008-11-20,891,895,890,895,25
2008-11-24,895,940,890,940,13
2008-11-25,938,938,921,921,12
2008-11-26,930,930,930,930,52
2008-11-27,924,925,924,925,11
2008-11-28,920,939.99,920,939.99,21
2008-12-01,939.99,940,929,929,6
2008-12-02,930,940,920,938,16
2008-12-03,939,940,920,935,67
2008-12-04,930,931.51,911.01,930,86
2008-12-05,921,938,915,920,85
2008-12-08,930,935,920.1,935,24
2008-12-09,930,938,925,935,30
2008-12-10,939,939,930,930,12
2008-12-11,930,935,930,935,13
2008-12-12,935,935,935,935,9
2008-12-15,939.99,939.99,929.58,929.58,61
2008-12-16,933,950,925.01,948,89
2008-12-17,947,947,947,947,1
2008-12-18,935,935,920,920,31
2008-12-19,920,948,920,948,46
2008-12-22,940,940,940,940,12
2008-12-23,946,950,940,950,22
2008-12-29,950,959,920,942.1,43
2008-12-30,950,959.99,950,959.99,17
2008-12-31,960,979.99,960,979.99,28
2009-01-05,969.89,970,957.98,958,52
2009-01-06,950,950,940,940,19
2009-01-08,954,958,949.99,950,24
2009-01-09,957.99,959,950,950,50
2009-01-12,958.99,960,955,955,50
2009-01-13,950,950,946,946,56
2009-01-14,950,950,947.1,949,32
2009-01-15,942,946,940,940,39
2009-01-16,939,939,932,932,22
2009-01-19,932,932,932,932,12
2009-01-20,940,940,940,940,2
2009-01-22,943.99,944,940,940,21
2009-01-23,932,940,930,940,57
2009-01-27,945,950,945,950,31
2009-01-28,940,949.9,940,940,16
2009-01-29,944.99,945,944.99,945,13
2009-01-30,940,945,937,940,49
2009-02-02,937,937,930,937,35
2009-02-03,931,949.97,931,949.97,13
2009-02-04,948,948,948,948,6
2009-02-06,930,941,930,939,8
2009-02-09,935,935.1,935,935,12
2009-02-10,939.99,939.99,930,930,37
2009-02-11,924,930,922,930,21
2009-02-13,929,929,920.01,920.01,5
2009-02-16,929,929.99,920,927,49
2009-02-17,919.01,926.98,906.5,926.98,25
2009-02-19,920,925,920,925,10
2009-02-20,919,919,919,919,2
2009-02-23,921,929.4,921,929.4,10
2009-02-24,920,920,915,915,25
2009-02-25,930,930,917,917,17
2009-02-26,920,920,920,920,1
2009-02-27,920,920,920,920,9
2009-03-02,919.5,919.5,919.5,919.5,4
2009-03-05,921,921,921,921,2
2009-03-09,910,910,901,910,21
2009-03-10,900,900.01,900,900,21
2009-03-11,905,905,905,905,1
2009-03-13,900,900,896,896,24
2009-03-16,899,899,899,899,5
2009-03-17,895.02,900,895.02,900,3
2009-03-20,910,910,900,900,21
2009-03-23,905,905,905,905,69
2009-03-25,910,910,895.05,910,6
2009-03-26,896,896,880,880,11
2009-03-27,895,900,895,895,10
2009-03-30,895,895,895,895,1
2009-03-31,900,900,900,900,1
2009-04-01,900,900,900,900,11
2009-04-02,900,900,900,900,10
2009-04-03,890,900,890,900,15
2009-04-07,895,897,895,897,9
2009-04-08,895,895,877,877,41
2009-04-09,875,889.8,875,889.8,33
2009-04-14,886,886,873,873,51
2009-04-15,873,873,872.5,872.5,26
2009-04-16,870,875,870,873.95,21
2009-04-20,868,870,866,866,20
2009-04-21,888,888,866,866,7
2009-04-22,870,885,870,885,7
2009-04-24,872.12,872.12,870.1,870.1,3
2009-04-27,870.02,871,870,871,15
2009-04-29,870,870,870,870,2
2009-04-30,862.01,870,862,870,17
2009-05-04,870,870,870,870,4
2009-05-05,871,880,871,871,26
2009-05-06,880,880,872.1,872.1,2
2009-05-07,882,882,881,882,13
2009-05-12,890,890,885.5,885.5,17
2009-05-14,880,880,876,876,18
2009-05-19,881,898,880,880,16
2009-05-22,890,890,890,890,3
2009-05-25,880,880,880,880,2
